,name,categories,location.lat,location.lng
0,Le Pick Clops,Bar,48.85664845052019,2.356918874931123
1,Le P’tit Bourg,Restaurant,48.856769970913916,2.3553429543972015
2,Chez Mademoiselle,Restaurant,48.85429032043008,2.3598099177322163
3,Rivolux,Bar,48.85559040054201,2.35941883896175
4,Jaja Restaurant 3 Rue Sainte-Croix,Restaurant,48.857513,2.357389
5,Bidoche,Butcher,48.86508088637581,2.3670682311058044
6,Gramme,Restaurant,48.863121,2.360375
7,La Chamade,Restaurant,48.854311,2.365006
8,Hébé,Restaurant,48.850704,2.348898
9,Rendez-Vous Saint-Germain,Restaurant,48.85096224921496,2.3450382018924394
10,La French Guinguette,Bistro,48.86182051502064,2.3516183533382673
11,Le Ballon Rouge,Restaurant,48.867642489955664,2.3568518492939154
12,Margo,Restaurant,48.865105,2.3672376
13,L'adresse,Restaurant,48.865783,2.358392
14,Quartier libre,Restaurant,48.856367,2.376807
15,808 Mac And Cheesse,Restaurant,48.864387,2.365812
16,The Bistronomist,Restaurant,48.864112,2.366393
17,Des Vins A Vous,Restaurant,48.86431,2.3530087
18,TAEM restau-billot,Restaurant,48.857671,2.377296
19,Solento Maria,Restaurant,48.855657,2.3629
20,La Petite Maison dans la Cour,Restaurant,48.85316752846349,2.3607949252073865
21,luesone francaise,Restaurant,48.852063,2.344301
22,Le Beau Marché,Restaurant,48.859768,2.367886
23,Carbón,Restaurant,48.861714,2.361315
24,Giada's,Restaurant,48.852063,2.354631
25,Le Petit Commines,Restaurant,48.86214725783727,2.366151503269559
26,Le Rigmarole,Restaurant,48.865127,2.36912
27,Elmer,Restaurant,48.86730109373345,2.3595416257767576
28,Le III,Restaurant,48.860033585452264,2.3646036417253633
29,Waffle Factory,Dessert Shop,48.8622402,2.3449247
30,Au Coeur du Marais,Restaurant,48.859969801450895,2.356901988387108
31,Le Drapeau,Bar,48.85799846312331,2.353030093909688
32,La Terrasse des Archives,Café,48.86129717812386,2.3580024792708985
33,Patati Patata,Restaurant,48.85292813526992,2.3743464137331545
34,Comptoir Gourmet,Restaurant,48.859958,2.354374
35,Café Bords de Seine,Café,48.857491,2.34659
36,Le Cafe Pizz ´ Du Trésor,Restaurant,48.85714449449296,2.3576464145835505
37,Grand Cœur,Restaurant,48.859737289195145,2.353591484368578
38,Ave Maria,Restaurant,48.864528,2.373022
39,Au Père Tranquille,Coffee Shop,48.86219331613404,2.3483604566635705
40,La Paulette,Restaurant,48.86243615870727,2.363577434395189
41,tango,Restaurant,48.842118,2.34972
42,Samsar spécialité indienne,Restaurant,48.85787998311252,2.345232494825818
43,Angeelhi,Restaurant,48.854438,2.371573
44,Super !,Office,48.8559178879203,2.374656823138714
45,Ze Kitchen Galerie,Restaurant,48.85510110130317,2.341297271887015
46,Le Paradis du Fruit,Juice Bar,48.85383953050907,2.3437531292438507
47,Dessance,Restaurant,48.8624288996422,2.3594775230595406
48,Inaro,Wine Bar,48.8682063040474,2.361292432876479
49,Le Paradis du Fruit,Juice Bar,48.853357609641016,2.369874533978867
50,L'Affable,Restaurant,48.8562877067998,2.324009429423189
51,La Table du Luxembourg,Restaurant,48.846517818842244,2.3345866151649934
52,Tabac des Ministères,Restaurant,48.851601233263686,2.3190950689503365
53,Panino Rossi,Restaurant,48.84640511786365,2.3272642493247986
54,Subway,Sandwich Place,48.84406708328793,2.330966438706355
55,Pizza Hut,Pizza Place,48.860048468087705,2.307409862600366
56,Au Clover,Restaurant,48.855253889074696,2.3304743637242633
57,L'Atelier,Creperie,48.85232,2.335133
58,La Teerasse du The Westin Paris – Vendôme,Restaurant,48.865864,2.3270092
59,Restaurant du Louvre,Restaurant,48.862004,2.33438704
60,Pavillon des Tuileries,Café,48.86438361721407,2.325640448388542
61,Gilberte,Restaurant,48.853661,2.337057
62,Le Petit Medicis,Restaurant,48.84792015154471,2.33987897018434
63,Absinthe Place Saint Honore Paris,Restaurant,48.866536,2.331783
64,Bistrot Buci Mazarine,Restaurant,48.853892,2.338406
65,Mon Petit Poulet,Restaurant,48.857169,2.306182
66,Le Septieme Vins,Restaurant,48.85500950640948,2.305826566140988
67,Le Mont-Thabor,Restaurant,48.866296,2.326576
68,Lumen Restaurant,Restaurant,48.865354,2.333231
69,Raw Saint Germain,Restaurant,48.846557,2.327732
70,Restaurant universitaire Mabillon,Restaurant,48.85282,2.3353299625741992
71,Le Paris,Restaurant,48.85145836621551,2.327256202697754
72,Le Wok,Restaurant,48.854405,2.339079
73,Chez Germaine,Restaurant,48.84833434341341,2.319459021091461
74,La Gorgée,Restaurant,48.846907,2.329033
75,Le Transit,Restaurant,48.861675,2.314713
76,La Table d'Aki,Restaurant,48.85095079445157,2.3192392520499774
77,L'Epidon,Wine Bar,48.85084923086848,2.3396270355999973
78,Le Smoke,Bar,48.841510356752075,2.3265442727374728
79,Brasserie La Chouffe,Restaurant,48.847529,2.341506
80,Le Clos Belle Juliette,Restaurant,48.847421,2.322506
81,Cubana Café,Gastropub,48.84265023,2.32890874
82,Café Central,Coffee Shop,48.856459651043394,2.306445613503456
83,Café de la Comédie,Bar,48.86313584744163,2.335770472852391
84,Vecchia Bar Pizzeria,Restaurant,48.854704305840386,2.324866090926912
85,Bistrot du Palais Bourbon,Restaurant,48.857421216289836,2.3397410762070083
86,Café des Lettres,Restaurant,48.858641,2.326679
87,cesar saint germain,Restaurant,48.85146674750729,2.331223234934736
88,Restaurant tibetain,Restaurant,48.85116278761913,2.343093602941334
89,Dietetic Shop,Restaurant,48.841994596043754,2.329260541468934
90,Kitchen snacking brunch,Restaurant,48.848317,2.324223
91,Jazzcartoon,Restaurant,48.86550065980688,2.3384366979464906
92,Le Pré,Cocktail Bar,48.85289752905632,2.3353139107836602
93,Le Trait d'Union,Bar,48.84688894221899,2.3267590242560865
94,Café du Musée,Café,48.856208779708076,2.3152707517147064
95,Bruce,Restaurant,48.873334,2.352995
96,Floderer,Restaurant,48.872612,2.352752
97,Tartelettes,Bakery,48.86723,2.343784
98,Chez Jeannette,Café,48.87155271980542,2.3535707671864237
99,Via Mela,Restaurant,48.876642,2.343468
100,District 80 MM,Restaurant,48.86649153414699,2.344290624677512
101,Pouliche,Restaurant,48.871659,2.352372
102,Immersion,Restaurant,48.871037,2.35999
103,Kibele,Restaurant,48.87118054997898,2.352127004723073
104,Frenchie Pigalle,Restaurant,48.880931,2.337589
105,Louis,Restaurant,48.875105,2.339057
106,Åke,Restaurant,48.871944,2.3668199
107,المطعم اليمني في باريس Yemeni Restaurant In Paris,Restaurant,48.879728,2.335844
108,Elémentaire,Restaurant,48.866703,2.3448706
109,L Artisan De La Truffe,Restaurant,48.87795,2.339546
110,Mieux,Restaurant,48.876655217370754,2.3369550704956055
111,le côte d'azur,Restaurant,48.87004089355469,2.362074136734009
112,Poissonnerie Lorenzo,Restaurant,48.874294,2.342539
113,Chardon,Restaurant,48.87115,2.357953
114,なりたけらーめん,Restaurant,48.866480047150404,2.336391231228373
115,Les restos du coeur,Restaurant,48.87972339212152,2.354660679623297
116,Marrow,Café,48.87442541960633,2.358884811401367
117,L'Ivress Bourse,Wine Bar,48.868721,2.344765
118,Delice De Condorcet,Restaurant,48.879547,2.347954
119,Shine Garden,Restaurant,48.87681617724853,2.3360048227997123
120,Domino's Pizza,Pizza Place,48.87920978367882,2.353740720146334
121,Café du Commerce,Restaurant,48.88462667760873,2.34711621239843
122,Le Dunkerque,Café,48.881737,2.34638
123,Belushi's Gare du Nord,Sports Bar,48.87935489393545,2.358004382344983
124,Les Animals,Bar,48.87697591351928,2.3514966666698456
125,Le Bistrot des Colonnes,Bistro,48.869014821658666,2.3395149442087217
126,Tiffin Box,Restaurant,48.87621067701454,2.345377206802368
127,La Cantine Russe,Restaurant,48.881517,2.364184
128,Aux Petits Tonneaux,Bar,48.86831202350129,2.365857668241767
129,Le Paradis du Fruit,Juice Bar,48.87129336398436,2.3356430509944284
130,EXKi,Sandwich Place,48.87003803191742,2.334405221973618
131,Pollop,Restaurant,48.86649605309285,2.3429134599389445
132,Le Mesturet,Bistro,48.86891181531619,2.3384673412742822
133,PUR etc.,Restaurant,48.86945303141158,2.3452833916668254
134,Wild & The Moon,Restaurant,48.866698,2.331141
135,Inavoué,Restaurant,48.86763468509094,2.3315608259872533
136,La Cantine des Mama's,Restaurant,48.867955,2.347828
137,Nelson’s,Restaurant,48.863695,2.34302
138,Le Passage Saint Honoré,Restaurant,48.867556,2.331517
139,Le Brun,Restaurant,48.861383346238455,2.343236804008484
140,Chez katy,Restaurant,48.862577,2.340535
141,Les Jalles,Restaurant,48.869147451974875,2.3291011183548482
142,Baltard Au Louvre,Restaurant,48.86344080385927,2.3425018787384033
143,Cuistance,Restaurant,48.86203475486889,2.342529161681739
144,Acacia,Restaurant,48.868833,2.337337
145,Tartare,Restaurant,48.867594,2.326638
